,artist_name,track_name,track_id,popularity,release_date_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Lynyrd Skynyrd,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg,0.8,1974,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4
1,Queen,Killer Queen - Remastered 2011,7GqWnsKhMtEW0nzki5o0d8,0.67,1974,0.535,0.65,10,-6.328,1,0.0554,0.379,0.0,0.14,0.61,117.188,179600,4
2,Bachman-Turner Overdrive,You Ain't Seen Nothing Yet,0HOrDVS349XFcpCYsO2hAP,0.72,1974,0.475,0.439,11,-15.039,0,0.0427,0.000146,0.000277,0.223,0.76,118.392,234867,4
3,Dolly Parton,Jolene,2SpEHTbUuebeLkgs9QB7Ue,0.72,1974,0.674,0.537,1,-10.971,0,0.0363,0.566,0.0,0.131,0.809,110.578,161533,4
4,David Bowie,Rebel Rebel - 2016 Remaster,2EC9IJj7g0mN1Q5VrZkiYY,0.72,1974,0.635,0.686,9,-15.648,1,0.053,0.209,0.0176,0.282,0.464,125.988,274747,4
5,Sweet,Ballroom Blitz,3Pu3IChaAoa5EjgUBv5F6x,0.63,1974,0.644,0.799,4,-10.856,0,0.0598,0.0821,0.00154,0.055,0.889,108.381,246573,4
6,Gordon Lightfoot,Sundown,0SjnBEHZVXgCKvOrpvzL2k,0.66,1974,0.794,0.427,11,-15.492,1,0.029,0.334,1.04e-05,0.0703,0.751,105.732,213400,4
7,Harry Chapin,Cat's in the Cradle,2obblQ6tcePeOEVJV6nEGD,0.66,1974,0.489,0.578,10,-9.766,1,0.0418,0.234,0.0,0.123,0.511,78.111,222951,4
8,John Denver,Thank God I'm a Country Boy,69HICMmc6nNLucAx3aJX9M,0.65,1974,0.762,0.537,9,-9.58,1,0.0478,0.785,0.000669,0.0551,0.958,105.603,193093,4
9,John Denver,Annie's Song,4J0DbyODwZJcmIAiTSJfMF,0.69,1974,0.304,0.305,2,-10.879,1,0.0298,0.871,0.00368,0.367,0.464,146.066,180693,3
10,Bad Company,Bad Company - 2015 Remaster,36vTL8WP4ZoD1bbUaW0V3E,0.63,1974,0.545,0.467,8,-10.862,1,0.0305,0.491,0.175,0.0805,0.444,113.713,288053,4
11,ABBA,Waterloo,3Dy4REq8O09IlgiwuHQ3sk,0.71,1974,0.445,0.949,2,-4.682,1,0.0471,0.395,8.18e-06,0.0902,0.653,147.604,168960,4
12,The Doobie Brothers,Black Water,4p8QcNkaq2FQj8uGJ7HEDK,0.61,1974,0.532,0.441,2,-12.866,1,0.0434,0.228,0.0,0.0846,0.67,169.275,255267,4
13,Lynyrd Skynyrd,The Ballad Of Curtis Loew,6PPhp1qpAjLUxQr75vSD4H,0.6,1974,0.432,0.425,9,-12.165,1,0.0918,0.312,3.19e-06,0.105,0.589,144.821,291736,4
